ID,Name,Rank,Platform,PickRate,WinRate,TieRate,OnFire
1,Ana,All,PC,12.83%,50.34%,1.91%,9.12%
2,Ashe,All,PC,5.25%,51.77%,1.75%,9.03%
3,Baptiste,All,PC,1.31%,45.82%,2.14%,9.70%
4,Bastion,All,PC,0.27%,54.65%,1.88%,15.66%
5,Brigitte,All,PC,0.69%,49.97%,1.47%,6.74%
6,D.Va,All,PC,2.55%,50.80%,1.67%,6.88%
7,Doomfist,All,PC,1.56%,53.40%,1.37%,7.73%
8,Echo,All,PC,0.81%,50.95%,1.56%,8.03%
9,Genji,All,PC,3.89%,50.46%,1.65%,11.65%
10,Hanzo,All,PC,2.21%,48.88%,1.67%,11.54%
11,Junkrat,All,PC,1.91%,51.91%,2.16%,10.98%
12,Lucio,All,PC,3.74%,53.75%,1.51%,11.95%
13,McCree,All,PC,1.85%,43.82%,1.30%,7.25%
14,Mei,All,PC,0.46%,48.34%,1.80%,7.53%
15,Mercy,All,PC,8.78%,51.37%,2.03%,2.26%
16,Moira,All,PC,4.80%,47.97%,1.98%,5.95%
17,Orisa,All,PC,0.33%,48.35%,1.67%,5.38%
18,Pharah,All,PC,1.48%,53.19%,1.45%,13.62%
19,Reaper,All,PC,1.97%,52.24%,1.54%,14.94%
20,Reinhardt,All,PC,8.18%,52.88%,2.22%,7.42%
21,Roadhog,All,PC,4.33%,46.26%,1.46%,7.55%
22,Sigma,All,PC,1.83%,51.11%,1.75%,12.60%
23,Soldier: 76,All,PC,2.34%,50.87%,1.52%,10.77%
24,Sombra,All,PC,1.10%,49.38%,1.70%,12.83%
25,Symmetra,All,PC,0.48%,57.66%,2.10%,8.21%
26,Torbjorn,All,PC,1.15%,57.21%,2.06%,7.82%
27,Tracer,All,PC,2.35%,50.04%,1.17%,7.29%
28,Widowmaker,All,PC,2.24%,49.66%,1.38%,6.95%
29,Winston,All,PC,3.64%,51.36%,1.54%,6.37%
30,Wrecking Ball,All,PC,2.63%,51.67%,1.45%,2.92%
31,Zarya,All,PC,10.31%,52.41%,2.00%,12.21%
32,Zenyatta,All,PC,2.73%,54.42%,1.60%,8.20%
1,Ana,Bronze,PC,8.13%,47.94%,1.76%,6.61%
2,Ashe,Bronze,PC,4.12%,49.74%,1.57%,7.07%
3,Baptiste,Bronze,PC,1.77%,45.14%,2.47%,9.31%
4,Bastion,Bronze,PC,0.94%,51.75%,1.72%,16.82%
5,Brigitte,Bronze,PC,0.91%,48.59%,1.52%,8.58%
6,D.Va,Bronze,PC,3.63%,44.79%,1.33%,6.72%
7,Doomfist,Bronze,PC,1.18%,47.25%,0.78%,8.13%
8,Echo,Bronze,PC,0.92%,42.93%,1.25%,6.54%
9,Genji,Bronze,PC,2.17%,46.93%,1.70%,10.84%
10,Hanzo,Bronze,PC,1.76%,46.07%,1.70%,10.12%
11,Junkrat,Bronze,PC,4.92%,49.17%,1.54%,11.64%
12,Lucio,Bronze,PC,4.53%,51.88%,1.32%,11.65%
13,McCree,Bronze,PC,1.57%,41.52%,1.47%,6.49%
14,Mei,Bronze,PC,0.81%,46.96%,1.43%,8.21%
15,Mercy,Bronze,PC,9.84%,48.46%,2.04%,1.68%
16,Moira,Bronze,PC,7.72%,45.62%,1.82%,5.37%
17,Orisa,Bronze,PC,1.47%,46.17%,2.19%,4.42%
18,Pharah,Bronze,PC,1.97%,47.99%,1.40%,10.41%
19,Reaper,Bronze,PC,3.16%,48.96%,1.75%,17.08%
20,Reinhardt,Bronze,PC,7.28%,48.05%,2.41%,7.27%
21,Roadhog,Bronze,PC,3.69%,43.32%,2.25%,5.40%
22,Sigma,Bronze,PC,3.56%,50.86%,1.94%,11.50%
23,Soldier: 76,Bronze,PC,3.41%,45.69%,1.15%,11.50%
24,Sombra,Bronze,PC,1.24%,46.48%,2.23%,12.23%
25,Symmetra,Bronze,PC,1.15%,57.79%,1.81%,9.25%
26,Torbjorn,Bronze,PC,1.72%,55.05%,2.95%,9.95%
27,Tracer,Bronze,PC,1.41%,44.39%,2.45%,6.46%
28,Widowmaker,Bronze,PC,1.01%,45.52%,0.46%,6.21%
29,Winston,Bronze,PC,2.39%,45.28%,1.15%,5.83%
30,Wrecking Ball,Bronze,PC,2.23%,48.26%,1.65%,2.79%
31,Zarya,Bronze,PC,7.30%,48.02%,1.80%,9.14%
32,Zenyatta,Bronze,PC,2.08%,48.81%,1.88%,10.05%
1,Ana,Silver,PC,9.85%,47.76%,1.99%,8.09%
2,Ashe,Silver,PC,4.67%,49.48%,1.55%,7.95%
3,Baptiste,Silver,PC,1.89%,44.83%,2.01%,9.11%
4,Bastion,Silver,PC,0.47%,54.74%,2.08%,17.17%
5,Brigitte,Silver,PC,0.88%,48.02%,1.10%,7.62%
6,D.Va,Silver,PC,3.13%,49.06%,1.81%,7.13%
7,Doomfist,Silver,PC,1.30%,51.27%,1.03%,7.34%
8,Echo,Silver,PC,0.93%,48.57%,1.85%,7.44%
9,Genji,Silver,PC,2.68%,48.51%,1.89%,9.97%
10,Hanzo,Silver,PC,1.86%,46.68%,1.85%,10.46%
11,Junkrat,Silver,PC,3.67%,50.25%,2.05%,11.73%
12,Lucio,Silver,PC,3.87%,53.47%,1.52%,12.13%
13,McCree,Silver,PC,1.80%,43.18%,1.24%,6.68%
14,Mei,Silver,PC,0.75%,46.62%,1.78%,8.34%
