ID,Name,Rank,Platform,PickRate,WinRate,TieRate,OnFire,,,,,,
1,Ana,All,PC,12.78%,50.77%,2.02%,8.89%,,,,,,
2,Ashe,All,PC,5.86%,51.89%,1.85%,9.04%,,,,,,
3,Baptiste,All,PC,1.32%,45.11%,1.99%,9.25%,,,,,,
4,Bastion,All,PC,0.25%,54.40%,1.43%,14.91%,,,,,,
5,Brigitte,All,PC,0.58%,52.80%,1.23%,5.89%,,,,,,
6,D.Va,All,PC,1.57%,49.80%,1.81%,7.34%,,,,,,
7,Doomfist,All,PC,1.34%,53.12%,1.31%,7.23%,,,,,,
8,Echo,All,PC,0.80%,50.83%,1.89%,7.98%,,,,,,
9,Genji,All,PC,4.21%,50.91%,1.74%,11.44%,,,,,,
10,Hanzo,All,PC,2.34%,49.52%,1.78%,11.49%,,,,,,
11,Junkrat,All,PC,1.91%,50.59%,1.94%,10.45%,,,,,,
12,Lucio,All,PC,3.10%,53.83%,1.59%,11.21%,,,,,,
13,McCree,All,PC,1.71%,43.61%,1.02%,7.12%,,,,,,
14,Mei,All,PC,0.48%,48.85%,1.90%,7.79%,,,,,,
15,Mercy,All,PC,9.26%,51.38%,2.01%,2.13%,,,,,,
16,Moira,All,PC,4.46%,48.01%,1.89%,5.36%,,,,,,
17,Orisa,All,PC,0.29%,46.02%,1.62%,5.20%,,,,,,
18,Pharah,All,PC,1.40%,53.56%,1.35%,13.14%,,,,,,
19,Reaper,All,PC,1.51%,51.59%,1.52%,14.31%,,,,,,
20,Reinhardt,All,PC,4.71%,51.60%,2.20%,6.79%,,,,,,
21,Roadhog,All,PC,10.38%,51.03%,1.85%,10.30%,,,,,,
22,Sigma,All,PC,1.54%,50.57%,1.88%,12.30%,,,,,,
23,Soldier: 76,All,PC,2.28%,50.97%,1.68%,10.57%,,,,,,
24,Sombra,All,PC,0.87%,47.71%,1.41%,12.08%,,,,,,
25,Symmetra,All,PC,0.49%,57.16%,2.64%,8.06%,,,,,,
26,Torbjorn,All,PC,1.11%,57.63%,1.71%,7.71%,,,,,,
27,Tracer,All,PC,2.02%,50.17%,1.26%,6.78%,,,,,,
28,Widowmaker,All,PC,2.56%,50.07%,1.49%,7.37%,,,,,,
29,Winston,All,PC,1.81%,49.40%,1.42%,5.95%,,,,,,
30,Wrecking Ball,All,PC,2.21%,50.72%,1.39%,2.75%,,,,,,
31,Zarya,All,PC,11.10%,52.05%,2.10%,11.43%,,,,,,
32,Zenyatta,All,PC,2.67%,54.59%,1.65%,7.84%,,,,,,
1,Ana,Bronze,PC,8.20%,48.01%,1.83%,6.95%,,,,,,
2,Ashe,Bronze,PC,4.04%,47.38%,1.05%,7.51%,,,,,,
3,Baptiste,Bronze,PC,1.86%,44.76%,2.52%,8.45%,,,,,,
4,Bastion,Bronze,PC,0.91%,50.26%,1.55%,17.59%,,,,,,
5,Brigitte,Bronze,PC,1.16%,52.89%,1.63%,7.81%,,,,,,
